ID,Software,CWE,Score,Severity,CVE_URL,WRITEUP_URL,EXPLOIT_URL
CVE-2025-11973,简数采集器,CWE-73 External Control of File Name or Path,4.9,Medium,https://www.cve.org/CVERecord?id=CVE-2025-11973,,
CVE-2025-11885,EchBay Admin Security,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),6.1,Medium,https://www.cve.org/CVERecord?id=CVE-2025-11885,,
CVE-2025-11773,Cryptocurrency (Token) - Launchpad (Presale) - ICO & IDO - Airdrop by TokenICO,CWE-862 Missing Authorization,4.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-11773,,
CVE-2025-11771,Cryptocurrency (Token) - Launchpad (Presale) - ICO & IDO - Airdrop by TokenICO,CWE-306 Missing Authentication for Critical Function,5.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-11771,,
CVE-2025-8084,AI Engine,CWE-918 Server-Side Request Forgery (SSRF),6.8,Medium,https://www.cve.org/CVERecord?id=CVE-2025-8084,,
CVE-2025-11620,Multiple Roles per User,CWE-862 Missing Authorization,7.2,High,https://www.cve.org/CVERecord?id=CVE-2025-11620,,
CVE-2025-64758,OWASP Dependency-Track,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),4.8,Medium,https://www.cve.org/CVERecord?id=CVE-2025-64758,,
CVE-2025-11260,WP Headless CMS Framework,CWE-693 Protection Mechanism Failure,5.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-11260,,
CVE-2025-11454,Specific Content For Mobile,CWE-89 Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),6.5,Medium,https://www.cve.org/CVERecord?id=CVE-2025-11454,,
CVE-2025-11988,Crypto Tool,CWE-862 Missing Authorization,5.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-11988,,
CVE-2025-12021,WP-OAuth,CWE-79 Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting'),6.1,Medium,https://www.cve.org/CVERecord?id=CVE-2025-12021,,
CVE-2025-11894,Shelf Planner,CWE-862 Missing Authorization,5.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-11894,,
CVE-2025-11891,Shelf Planner,CWE-538 Insertion of Sensitive Information into Externally-Accessible File or Directory,5.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-11891,,
CVE-2025-12132,WP Custom Admin Login Page Logo,CWE-352 Cross-Site Request Forgery (CSRF),4.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-12132,,
CVE-2025-11886,CTL Arcade Lite,CWE-352 Cross-Site Request Forgery (CSRF),4.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-11886,,
CVE-2025-11986,Crypto Tool,CWE-862 Missing Authorization,5.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-11986,,
CVE-2025-11980,Quick Featured Images,CWE-89 Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),4.9,Medium,https://www.cve.org/CVERecord?id=CVE-2025-11980,,
CVE-2025-10902,Originality.ai AI Checker,CWE-285 Improper Authorization,4.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-10902,,
CVE-2025-11627,Site Checkup AI Troubleshooting with Wizard and Tips for Each Issue,CWE-117 Improper Output Neutralization for Logs,6.5,Medium,https://www.cve.org/CVERecord?id=CVE-2025-11627,,
CVE-2025-10145,Auto Featured Image (Auto Post Thumbnail),CWE-918 Server-Side Request Forgery (SSRF),7.7,High,https://www.cve.org/CVERecord?id=CVE-2025-10145,,
CVE-2025-12094,OOPSpam Anti-Spam,CWE-693 Protection Mechanism Failure,5.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-12094,,
CVE-2025-12115,WPC Name Your Price for WooCommerce,CWE-602 Client-Side Enforcement of Server-Side Security,7.5,High,https://www.cve.org/CVERecord?id=CVE-2025-12115,,
CVE-2025-11975,FuseWP,CWE-862 Missing Authorization,4.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-11975,,
CVE-2025-11983,WP Discourse,CWE-200 Exposure of Sensitive Information to an Unauthorized Actor,4.3,Medium,https://www.cve.org/CVERecord?id=CVE-2025-11983,,
